customer_name,zip_count,location_count,zip_codes
Chase Bank,26,28,"94112,94941,95008,95531,94063,94596,94965,95472,94945,94904,94541,94606,94568,94550,94102,94103,94158,94133,94122,94121,94015,95405,94928,94954,95695,95616"
Office Building ,23,29,"94025,94901,94121,94118,94401,94107,94133,94108,94123,94111,94103,94102,94105,94301,94022,95401,95448,94509,95688,95814,95691,95833,95618"
Sutter East Bay Medical Foundation,15,20,"94704,94509,94549,94705,94706,94609,94806,94513,94563,94546,94526,94520,94583,94568,94598"
Chevron Station   ,14,15,"95610,95677,94596,94595,94402,95110,95129,95126,94121,94118,95014,95008,94002,95620"
Chevron,13,14,"95020,94597,95014,94577,94501,94566,94550,94303,94087,94063,94025,95330,95207"
Retail Space ,12,19,"94117,95054,94115,94109,94111,94510,94114,94401,95403,94123,94102,94952"
Goodwill ,12,12,"95926,95827,95817,95841,95610,95616,95776,95682,95667,95621,95662,95843"
Retail Building  ,11,16,"94124,94590,94965,94127,94114,94108,94103,94123,94117,94510,95991"
Goodwill Store,10,11,"95630,95670,95823,95842,95825,95758,95691,95678,95991,95603"
Swinerton Builders,9,13,"95828,94545,95054,94107,94402,95661,94520,94015,94129"
Sonoma County Central Library,9,10,"94928,95472,95476,95405,95425,95409,94952,95492,95448"
Chavez Supermarket,8,9,"94544,95123,94025,95111,94085,94063,95116,95121"
Whole Foods Market ,8,9,"94536,95126,94132,94112,95401,91107,78768-4667,95616"
Cushman & Wakefield,8,8,"94105,94596,94939,94904,95128,94520,95828,63141"
Orchard Supply Hardware,8,8,"94901,94550,94087,95035,94954,94583,94558,93955"
Tesla Motors,7,20,"95054,94539,94304,94538,95134,94089,94555"
Swords to Plowshares,7,8,"94130,94103,94612,94607,94158,94129,94108"
Grocery Outlet,7,7,"94306,94541,94044,95020,95691,95678,95667"
Bank of America,7,7,"94568,94607,95050,94122,94118,94019,95446"
Kaiser Permanente Medical Center - Morse,6,18,"95825,95815,95821,95814,95838,95670"
Sutter Health - PAMF - Santa Cruz County,6,9,"95076,95062,95073,95065,95010,95060"
VIVE HOA Property Mgmt.,6,8,"94608,94124,94103,94131,94108,94520"
Floor & Decor,6,7,"95020,95832,95210,95035,95677,89509"
Laguna Honda Hospital,6,7,"94124,94134,94116,94102,94103,94107"
Hensel Phelps Construction,6,7,"94588,94612,95110,80631,95814,95605"
Shell Station,6,7,"94588,94086,94025,94583,96161,96145"
Larkspur Landing,6,6,"94588,95035,95008,94080,94085,95661"
Starbucks,6,6,"94301,94704,94534,94533,94080,95648"
Palo Alto Medical Foundation,6,6,"95076,94401,95051,94024,95062,95060"
Comcast,6,6,"94589,94903,94954,94558,94533,95688"
Comfort Inn,6,6,"94538,94546,94306,94063,95060,93905"
Private Residence ,6,6,"94506,94070,94025,94010,94507,94558"
Chandler Properties,5,9,"94103,94123,94109,94115,94118"
Pacific Glazing Contractors,5,7,"94587,95023,94080,95037,95035"
St Joseph Health - Providence,5,7,"95405,95401,94559,94558,94952"
San Francisco Public Library,5,5,"94102,94118,94133,94124,94115"
Shell Gas Station,5,5,"94601,94619,94115,94558,96162"
Nordstrom Rack,5,5,"94523,95123,94303,95401,94103"
99 Cent Store ,5,5,"95823,94538,94550,94509,94521"
The UPS Store / Johnathan Mohr,5,5,"95356,95603,95945,95691,95066"
Mcdonald’s,5,5,"94571,94541,94706,95070,95425"
99 Cents Only Store,5,5,"95128,95020,94564,94520,94533"
UC Davis Medical Center    ,4,30,"95817,95820,95747,95816"
Kaiser Permanente Medical Center - Oakland,4,15,"94501,94611,94609,94612"
NorthBay Healthcare,4,13,"95620,94534,94533,95687"
Caritas Management Corp.,4,10,"94110,94103,94102,94121"
Doctor’s Med Center Inc. d/b/a Emanuel Med Center,4,7,"95382,95363,95381-9005,46304"
Mercy General Hospital,4,7,"95610,95819,95825,95816"
Berkeley Public Library,4,7,"94703,94704,94707,94705"
Stanford Medicine Partners,4,6,"94560,94501,95032,94608"
John Muir Medical Center - Walnut Creek,4,6,"94598,94596,94523,94521"
Sutter - PAMF,4,6,"95003,95066,95060,95073"
Unger Construction Company,4,5,"95818,94130,95816,94954"
University Healthcare Alliance dba Stanford Medicine Partners ,4,5,"94560,94040,95124,94588"
Wells Fargo Bank,4,5,"94541,94107,94109,94520"
New India Bazar,4,5,"94566,94538,95050,95035"
Contra Costa County Fire Protection District,4,5,"94565,94803,94549,94518"
Architectural Glass & Aluminum (AGA),4,4,"95825,94501,94550,94115"
Chase,4,4,"95476,94903,94925,95403"
Oliver’s Market,4,4,"95492,95409,95401,94931"
MidPen-Housing Corp. / Immanuel Sobrato Community,4,4,"94404,95062,94587,95128"
FedEx,4,4,"94118,94109,94603,94111"
Holiday Inn Express,4,4,"95687,94538,95304,95050"
Nijiya Market,4,4,"94403,95112,94115,94040"
Sutter Pacific Medical Foundation,4,4,"94110,94109,94132,94954"
Best Western,4,4,"95076,95066,93933,95010"
Island Pacific Supermarket,4,4,"94591,94589,94587,94565"
"Keegan & Coppin Co., Inc.",4,4,"94939,95401,94954,94558"
Celia’s Mexican Restaurant ,4,4,"94306,94401,94509,94025"
Fresenius Medical Care,4,4,"94560,94538,94523,94509"
Team Commercial Construction ,4,4,"94607,94612,94111,94801"
dormakaba USA,4,4,"60044,17601,62288,28289"
Holiday Inn,4,4,"95050,95112,94063,94010"
Kelly Paper,4,4,"95054,95122,94103,94518"
Verizon Wireless,4,4,"94080,94301,94015,95060"
The Grove,4,4,"94111,94102,94103,94105"
Bank Of The West,4,4,"94134,94509,95821,95608"
Residence ,4,4,"94131,94010,94005,94931"
Stanford Blood Center,4,4,"94304,94040,94025,95008"
AKT Properties,4,4,"95242,95826,95816,95814"
Stanford University School of Medicine,3,41,"94305,94304,94035"
City of Richmond,3,23,"94801,94804,94806"
Intuit,3,17,"94043,94105,94025"
Kaiser Medical Center - Roseville,3,15,"95661,95678,95661-7700"
Kaiser Medical Center - San Jose,3,15,"95119,95123,95110"
Kaiser Medical Center - Santa Rosa,3,12,"95403,94928,95407"
City of Vacaville,3,11,"95688,95687,95625"
Stanford University,3,10,"94309,94304,94305"
Community Hospital of the Monterey Peninsula ,3,8,"93940,93933,93955"
UCSF Parnassus Medical Center,3,7,"94122,94143,94117"
City of Redwood City,3,7,"94063,94061,94065"
Apple,3,7,"94085,95129,95014"
Stanford Health Care - Emeryville,3,5,"94608,94544,94523"
Sutter Health,3,5,"95124,95816,95661"
Santa Cruz Metro,3,5,"95076,95066,95060"
"Wash Cycle, Inc.",3,5,"95632,95624,95376"
Kaiser Medical Center,3,5,"94577,94545,95110"
"Seagate Properties, Inc.",3,5,"94704,94539,94705"
Pentair Thermal Management,3,5,"94065,94063,94025"
Lodi Memorial Hospital,3,4,"95240,95242,95632"
CIM Group,3,4,"94607,94103,94107"
Fairfield Inn & Suites,3,4,"94503,95112,94070"
Fort Sutter MOB,3,4,"95816,94546,95661"
